@relation my_relation
@attribute attr0 real
@attribute attr1 real
@attribute attr2 real
@attribute attr3 real
@attribute attr4 real
@attribute attr5 real
@attribute attr6 real
@attribute attr7 real
@attribute attr8 real
@attribute attr9 real
@attribute attr10 string
@data
1.0,6.0,54.0,54.0,2.0,1.0,9.0,0.5,9.0,6.0,'Y0'
0.0,2.0,18.0,18.0,0.0,1.0,4.0,0.333333,4.0,2.0,'Y0'
1.0,7.0,34.0,34.0,2.0,1.0,7.0,0.571429,7.0,7.0,'Y0'
0.0,1.0,4.0,4.0,0.0,1.0,1.0,0.333333,1.0,1.0,'Y0'
2.0,4.0,35.0,35.0,3.0,1.0,8.0,0.5,8.0,4.0,'Y0'
2.0,2.0,16.0,16.0,3.0,0.0,3.0,0.5,3.0,2.0,'Y0'
3.0,4.0,43.0,43.0,10.0,1.0,11.0,0.5,11.0,4.0,'Y0'
0.0,4.0,26.0,26.0,0.0,1.0,7.0,1.0,7.0,3.0,'Y0'
1.0,3.0,24.0,24.0,2.0,1.0,4.0,0.666667,4.0,3.0,'Y0'
3.0,6.0,44.0,44.0,5.0,0.2,14.0,1.0,14.0,6.0,'Y0'
1.0,2.0,15.0,15.0,1.0,1.0,2.0,0.5,2.0,2.0,'Y0'
5.0,6.0,70.0,70.0,13.0,0.2,30.0,1.0,30.0,6.0,'Y0'
1.0,5.0,83.0,83.0,6.0,1.0,21.0,0.05,21.0,5.0,'Y0'
2.0,3.0,20.0,20.0,2.0,1.0,3.0,0.5,3.0,3.0,'Y0'
3.0,5.0,49.0,49.0,6.0,0.1,8.0,0.5,8.0,5.0,'Y0'
2.0,7.0,72.0,72.0,7.0,0.714286,11.0,0.5,11.0,7.0,'Y0'
3.0,10.0,98.0,98.0,12.0,0.133333,23.0,1.0,23.0,10.0,'Y0'
0.0,11.0,70.0,70.0,0.0,0.622222,19.0,1.0,19.0,10.0,'Y0'
3.0,7.0,65.0,65.0,7.0,0.952381,13.0,0.833333,13.0,7.0,'Y0'
18.0,10.0,244.0,239.0,18.0,0.345455,33.0,0.6,32.0,10.0,'Y0'
0.0,2.0,19.0,19.0,0.0,1.0,3.0,1.0,3.0,2.0,'Y0'
0.0,1.0,5.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,'Y0'
1.0,4.0,18.0,18.0,4.0,1.0,4.0,1.0,4.0,0.0,'Y0'
0.0,6.0,50.0,50.0,0.0,1.0,13.0,1.0,13.0,1.0,'Y0'
25.0,29.0,1371.0,1371.0,51.0,1.0,328.0,1.0,328.0,27.0,'Y0'
1.0,10.0,243.0,243.0,1.0,1.0,47.0,1.0,47.0,9.0,'Y0'
1.0,2.0,14.0,14.0,1.0,1.0,2.0,0.666667,2.0,0.0,'Y0'
1.0,2.0,76.0,76.0,1.0,1.0,2.0,0.2,2.0,0.0,'Y0'
0.0,2.0,15.0,15.0,0.0,0.0,2.0,1.0,2.0,2.0,'Y0'
2.0,3.0,29.0,29.0,2.0,0.0,4.0,1.0,4.0,3.0,'Y0'
3.0,1.0,330.0,330.0,3.0,0.087179,40.0,0.025,1.0,1.0,'Y1'
4.0,7.0,199.0,37.0,3.0,0.243333,25.0,0.28,7.0,7.0,'Y1'
2.0,3.0,88.0,88.0,3.0,1.0,10.0,1.0,10.0,2.0,'Y0'
1.0,24.0,518.0,390.0,1.0,0.261084,55.0,0.8,42.0,23.0,'Y0'
1.0,1.0,13.0,13.0,1.0,1.0,1.0,1.0,1.0,0.0,'Y0'
11.0,38.0,1342.0,1264.0,30.0,0.49359,227.0,0.709677,213.0,38.0,'Y0'
10.0,41.0,3600.0,3405.0,26.0,0.272895,296.0,0.395349,256.0,41.0,'Y0'
9.0,18.0,1097.0,1097.0,36.0,0.269231,286.0,1.0,286.0,18.0,'Y0'
0.0,4.0,112.0,64.0,0.0,0.361111,11.0,0.3,4.0,2.0,'Y1'
10.0,4.0,196.0,196.0,11.0,0.0,8.0,1.0,8.0,4.0,'Y0'
1.0,2.0,26.0,26.0,2.0,1.0,2.0,1.0,2.0,1.0,'Y0'
0.0,7.0,107.0,67.0,0.0,0.418182,11.0,0.636364,7.0,7.0,'Y1'
4.0,4.0,166.0,166.0,4.0,0.5,10.0,1.0,10.0,4.0,'Y0'
1.0,1.0,34.0,34.0,1.0,1.0,6.0,0.4,6.0,1.0,'Y0'
3.0,7.0,167.0,167.0,4.0,0.714286,18.0,1.0,18.0,7.0,'Y0'
5.0,54.0,2005.0,1910.0,11.0,0.383503,244.0,0.4,233.0,50.0,'Y0'
