@relation my_relation
@attribute attr0 real
@attribute attr1 real
@attribute attr2 real
@attribute attr3 real
@attribute attr4 real
@attribute attr5 real
@attribute attr6 real
@attribute attr7 real
@attribute attr8 real
@attribute attr9 real
@attribute attr10 real
@attribute attr11 real
@attribute attr12 real
@attribute attr13 real
@attribute attr14 real
@attribute attr15 real
@attribute attr16 real
@attribute attr17 real
@attribute attr18 real
@attribute attr19 real
@attribute attr20 real
@attribute attr21 real
@attribute attr22 real
@attribute attr23 real
@attribute attr24 real
@attribute attr25 real
@attribute attr26 real
@attribute attr27 real
@attribute attr28 real
@attribute attr29 real
@attribute attr30 real
@attribute attr31 real
@attribute attr32 real
@attribute attr33 real
@attribute attr34 real
@attribute attr35 real
@attribute attr36 real
@attribute attr37 real
@attribute attr38 real
@attribute attr39 real
@attribute attr40 real
@attribute attr41 real
@attribute attr42 real
@attribute attr43 real
@attribute attr44 real
@attribute attr45 real
@attribute attr46 real
@attribute attr47 real
@attribute attr48 real
@attribute attr49 real
@attribute attr50 real
@attribute attr51 real
@attribute attr52 real
@attribute attr53 real
@attribute attr54 real
@attribute attr55 real
@attribute attr56 real
@attribute attr57 real
@attribute attr58 real
@attribute attr59 real
@attribute attr60 real
@attribute attr61 real
@attribute attr62 real
@attribute attr63 real
@attribute attr64 real
@attribute attr65 real
@attribute attr66 real
@attribute attr67 real
@attribute attr68 real
@attribute attr69 real
@attribute attr70 real
@attribute attr71 real
@attribute attr72 real
@attribute attr73 real
@attribute attr74 real
@attribute attr75 real
@attribute attr76 real
@attribute attr77 real
@attribute attr78 real
@attribute attr79 real
@attribute attr80 real
@attribute attr81 real
@attribute attr82 string
@data
0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,3.0,1.0,6.0,2.0,32.0,3.0,54.0,54.0,2.0,1.0,2.0,5.0,56.0,0.0,9.0,1.0,0.5,9.0,1.5,1.5,20.0,72.0,0.0,701.0,72.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,'Y0'
0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,3.0,1.0,6.0,2.0,32.0,3.0,54.0,54.0,2.0,1.0,2.0,5.0,56.0,0.0,9.0,1.0,0.5,9.0,1.5,1.5,20.0,72.0,0.0,701.0,72.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,'Y0'
1.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,3.0,1.0,6.0,2.0,32.0,3.0,54.0,54.0,2.0,1.0,2.0,5.0,56.0,0.0,9.0,1.0,0.5,9.0,1.5,1.5,20.0,72.0,0.0,701.0,72.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,'Y0'
1.0,0.0,2.0,1.0,0.0,2.0,11.0,2.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,1.0,6.0,2.0,32.0,3.0,54.0,54.0,2.0,1.0,2.0,5.0,56.0,0.0,9.0,1.0,0.5,9.0,1.5,1.5,20.0,72.0,0.0,701.0,72.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,'Y0'
1.0,0.0,2.0,1.0,0.0,2.0,11.0,2.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,1.0,6.0,2.0,32.0,3.0,54.0,54.0,2.0,1.0,2.0,5.0,56.0,0.0,9.0,1.0,0.5,9.0,1.5,1.5,20.0,72.0,0.0,701.0,72.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,'Y0'
1.0,0.0,2.0,1.0,0.0,2.0,11.0,2.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,1.0,6.0,2.0,32.0,3.0,54.0,54.0,2.0,1.0,2.0,5.0,56.0,0.0,9.0,1.0,0.5,9.0,1.5,1.5,20.0,72.0,0.0,701.0,72.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,'Y0'
0.0,0.0,5.0,2.0,0.0,3.0,29.0,5.0,0.0,8.0,0.0,12.0,0.285714,1.0,3.0,2.0,0.0,3.0,0.0,0.333333,0.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,3.0,32.0,3.0,35.0,35.0,3.0,1.0,3.0,6.0,52.0,0.0,5.0,0.0,0.25,5.0,5.0,5.0,20.0,72.0,0.0,701.0,72.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,'Y1'
2.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,15.0,4.0,18.0,18.0,4.0,1.0,0.0,1.0,9.0,0.0,4.0,0.0,1.0,4.0,1.0,1.0,8.0,100.0,1.0,2639.0,109.0,4.0,48.0,1.0,245.0,233.0,6694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,'Y0'
4.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,4.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,15.0,4.0,18.0,18.0,4.0,1.0,0.0,1.0,9.0,0.0,4.0,0.0,1.0,4.0,1.0,1.0,8.0,100.0,1.0,2639.0,109.0,4.0,48.0,1.0,245.0,233.0,6694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,'Y0'
2.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,15.0,4.0,18.0,18.0,4.0,1.0,0.0,1.0,9.0,0.0,4.0,0.0,1.0,4.0,1.0,1.0,8.0,100.0,1.0,2639.0,109.0,4.0,48.0,1.0,245.0,233.0,6694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,'Y0'
