@relation my_relation
@attribute attr0 real
@attribute attr1 real
@attribute attr2 real
@attribute attr3 real
@attribute attr4 real
@attribute attr5 real
@attribute attr6 real
@attribute attr7 real
@attribute attr8 real
@attribute attr9 real
@attribute attr10 real
@attribute attr11 {Y0, Y1, Y2, Y3}
@data
2.0,0.0,2.0,18.0,18.0,0.0,4.0,4.0,2.0,2.0,0.0,'Y0'
7.0,1.0,7.0,34.0,34.0,2.0,7.0,7.0,7.0,7.0,0.0,'Y0'
1.0,0.0,1.0,4.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,'Y0'
4.0,2.0,4.0,35.0,35.0,3.0,8.0,8.0,4.0,4.0,0.0,'Y0'
2.0,2.0,2.0,16.0,16.0,3.0,3.0,3.0,2.0,2.0,0.0,'Y0'
4.0,3.0,4.0,43.0,43.0,10.0,11.0,11.0,4.0,4.0,0.0,'Y0'
4.0,0.0,4.0,26.0,26.0,0.0,7.0,7.0,4.0,3.0,0.0,'Y0'
3.0,1.0,3.0,24.0,24.0,2.0,4.0,4.0,3.0,3.0,0.0,'Y0'
6.0,3.0,6.0,44.0,44.0,5.0,14.0,14.0,7.0,6.0,0.0,'Y0'
2.0,1.0,2.0,15.0,15.0,1.0,2.0,2.0,2.0,2.0,0.0,'Y0'
6.0,5.0,6.0,70.0,70.0,13.0,30.0,30.0,6.0,6.0,0.0,'Y0'
5.0,1.0,5.0,83.0,83.0,6.0,21.0,21.0,5.0,5.0,0.0,'Y0'
3.0,2.0,3.0,20.0,20.0,2.0,3.0,3.0,3.0,3.0,0.0,'Y0'
5.0,3.0,5.0,49.0,49.0,6.0,8.0,8.0,5.0,5.0,0.0,'Y0'
7.0,2.0,7.0,72.0,72.0,7.0,11.0,11.0,7.0,7.0,0.0,'Y0'
10.0,3.0,10.0,98.0,98.0,12.0,23.0,23.0,10.0,10.0,1.0,'Y0'
11.0,0.0,11.0,70.0,70.0,0.0,19.0,19.0,8.0,10.0,0.0,'Y0'
7.0,3.0,7.0,65.0,65.0,7.0,13.0,13.0,7.0,7.0,0.0,'Y0'
11.0,18.0,10.0,244.0,239.0,18.0,33.0,32.0,8.0,10.0,0.0,'Y0'
2.0,0.0,2.0,19.0,19.0,0.0,3.0,3.0,3.0,2.0,0.0,'Y0'
1.0,0.0,1.0,5.0,5.0,0.0,1.0,1.0,2.0,1.0,0.0,'Y0'
4.0,1.0,4.0,18.0,18.0,4.0,4.0,4.0,4.0,0.0,0.0,'Y0'
6.0,0.0,6.0,50.0,50.0,0.0,13.0,13.0,6.0,1.0,0.0,'Y0'
29.0,25.0,29.0,1371.0,1371.0,51.0,328.0,328.0,23.0,27.0,1.0,'Y0'
10.0,1.0,10.0,243.0,243.0,1.0,47.0,47.0,10.0,9.0,0.0,'Y0'
2.0,1.0,2.0,14.0,14.0,1.0,2.0,2.0,2.0,0.0,0.0,'Y0'
2.0,1.0,2.0,76.0,76.0,1.0,2.0,2.0,2.0,0.0,0.0,'Y0'
2.0,0.0,2.0,15.0,15.0,0.0,2.0,2.0,3.0,2.0,0.0,'Y0'
3.0,2.0,3.0,29.0,29.0,2.0,4.0,4.0,3.0,3.0,0.0,'Y0'
40.0,3.0,1.0,330.0,330.0,3.0,40.0,1.0,41.0,1.0,0.0,'Y1'
25.0,4.0,7.0,199.0,37.0,3.0,25.0,7.0,26.0,7.0,0.0,'Y1'
3.0,2.0,3.0,88.0,88.0,3.0,10.0,10.0,2.0,2.0,0.0,'Y0'
30.0,1.0,24.0,518.0,390.0,1.0,55.0,42.0,30.0,23.0,0.0,'Y0'
47.0,11.0,38.0,1342.0,1264.0,30.0,227.0,213.0,41.0,38.0,1.0,'Y0'
50.0,10.0,41.0,3600.0,3405.0,26.0,296.0,256.0,41.0,41.0,1.0,'Y0'
18.0,9.0,18.0,1097.0,1097.0,36.0,286.0,286.0,19.0,18.0,1.0,'Y0'
11.0,0.0,4.0,112.0,64.0,0.0,11.0,4.0,11.0,2.0,0.0,'Y1'
4.0,10.0,4.0,196.0,196.0,11.0,8.0,8.0,0.0,4.0,0.0,'Y0'
2.0,1.0,2.0,26.0,26.0,2.0,2.0,2.0,2.0,1.0,0.0,'Y0'
11.0,0.0,7.0,107.0,67.0,0.0,11.0,7.0,12.0,7.0,0.0,'Y1'
4.0,4.0,4.0,166.0,166.0,4.0,10.0,10.0,4.0,4.0,0.0,'Y0'
1.0,1.0,1.0,34.0,34.0,1.0,6.0,6.0,2.0,1.0,0.0,'Y0'
63.0,5.0,54.0,2005.0,1910.0,11.0,244.0,233.0,58.0,50.0,1.0,'Y0'
16.0,0.0,9.0,175.0,105.0,0.0,16.0,9.0,16.0,8.0,0.0,'Y1'
1.0,0.0,1.0,38.0,38.0,0.0,1.0,1.0,1.0,0.0,0.0,'Y0'
11.0,1.0,11.0,146.0,146.0,1.0,17.0,17.0,2.0,10.0,0.0,'Y0'
1.0,0.0,1.0,42.0,42.0,0.0,7.0,7.0,2.0,1.0,0.0,'Y0'
4.0,2.0,4.0,51.0,51.0,4.0,11.0,11.0,3.0,3.0,0.0,'Y0'
12.0,1.0,3.0,164.0,79.0,0.0,21.0,11.0,13.0,3.0,0.0,'Y1'
7.0,12.0,6.0,321.0,306.0,20.0,51.0,48.0,4.0,5.0,1.0,'Y0'
9.0,4.0,9.0,200.0,200.0,2.0,20.0,20.0,7.0,8.0,0.0,'Y0'
1.0,0.0,1.0,10.0,10.0,0.0,2.0,2.0,2.0,1.0,0.0,'Y0'
4.0,0.0,1.0,25.0,7.0,0.0,4.0,1.0,5.0,1.0,0.0,'Y1'
8.0,0.0,0.0,47.0,47.0,0.0,8.0,0.0,9.0,0.0,0.0,'Y1'
8.0,0.0,2.0,47.0,11.0,0.0,8.0,2.0,9.0,2.0,0.0,'Y1'
16.0,0.0,0.0,91.0,91.0,0.0,16.0,0.0,17.0,0.0,0.0,'Y1'
5.0,2.0,5.0,29.0,29.0,2.0,5.0,5.0,5.0,4.0,0.0,'Y0'
7.0,2.0,6.0,48.0,38.0,4.0,7.0,6.0,7.0,5.0,0.0,'Y0'
6.0,2.0,6.0,39.0,39.0,2.0,8.0,8.0,6.0,5.0,0.0,'Y0'
66.0,0.0,66.0,1917.0,1917.0,0.0,785.0,785.0,5.0,62.0,1.0,'Y0'
7.0,6.0,7.0,301.0,301.0,8.0,48.0,48.0,7.0,6.0,1.0,'Y0'
2.0,0.0,2.0,8.0,8.0,0.0,2.0,2.0,2.0,0.0,0.0,'Y0'
2.0,0.0,2.0,12.0,12.0,0.0,4.0,4.0,3.0,2.0,0.0,'Y0'
22.0,15.0,22.0,603.0,603.0,21.0,114.0,114.0,22.0,21.0,1.0,'Y0'
33.0,28.0,31.0,1043.0,1015.0,46.0,70.0,68.0,33.0,30.0,1.0,'Y0'
10.0,1.0,2.0,86.0,22.0,1.0,11.0,3.0,10.0,0.0,0.0,'Y1'
18.0,11.0,18.0,1172.0,1172.0,20.0,238.0,238.0,0.0,18.0,1.0,'Y0'
9.0,1.0,2.0,86.0,30.0,1.0,9.0,2.0,9.0,2.0,0.0,'Y1'
4.0,0.0,0.0,95.0,63.0,0.0,4.0,0.0,5.0,0.0,0.0,'Y1'
