@relation my_relation
@attribute attr0 real
@attribute attr1 real
@attribute attr2 real
@attribute attr3 real
@attribute attr4 real
@attribute attr5 real
@attribute attr6 real
@attribute attr7 real
@attribute attr8 real
@attribute attr9 real
@attribute attr10 real
@data
0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0
0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0
0.0,0.0,1.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,0.0
2.0,1.0,2.0,11.0,5.0,0.0,0.0,0.0,3.0,1.0,0.0
2.0,1.0,2.0,11.0,5.0,0.0,0.0,0.0,3.0,1.0,0.0
2.0,1.0,2.0,11.0,5.0,0.0,0.0,0.0,3.0,1.0,0.0
5.0,2.0,3.0,29.0,12.0,1.0,3.0,3.0,5.0,1.0,1.0
0.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0
0.0,0.0,1.0,3.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0
0.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0
0.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0
10.0,3.0,3.0,33.0,23.0,5.0,6.0,6.0,106.0,25.0,1.0
9.0,2.0,4.0,48.0,17.0,1.0,3.0,3.0,106.0,25.0,1.0
56.0,2.0,6.0,523.0,105.0,7.0,19.0,19.0,106.0,25.0,1.0
83.0,8.0,6.0,257.0,101.0,3.0,5.0,5.0,173.0,4.0,1.0
0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,15.0,3.0,0.0
9.0,2.0,5.0,176.0,32.0,3.0,3.0,7.0,13.0,5.0,1.0
0.0,0.0,2.0,18.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0
1.0,1.0,2.0,27.0,7.0,1.0,2.0,2.0,1.0,2.0,0.0
1.0,1.0,3.0,12.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0
0.0,0.0,1.0,7.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0
0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,3.0,30.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0
15.0,2.0,7.0,206.0,52.0,5.0,11.0,11.0,19.0,11.0,1.0
0.0,0.0,7.0,111.0,18.0,2.0,6.0,6.0,0.0,2.0,0.0
19.0,1.0,1.0,7.0,32.0,1.0,0.0,1.0,22.0,8.0,1.0
33.0,5.0,7.0,142.0,51.0,7.0,16.0,21.0,61.0,9.0,1.0
0.0,0.0,3.0,18.0,9.0,1.0,1.0,1.0,0.0,10.0,0.0
0.0,0.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0
0.0,0.0,2.0,14.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0
0.0,0.0,2.0,31.0,5.0,9.0,10.0,10.0,0.0,10.0,0.0
5.0,2.0,3.0,22.0,7.0,1.0,2.0,2.0,6.0,3.0,1.0
0.0,0.0,5.0,79.0,15.0,4.0,4.0,4.0,0.0,4.0,0.0
0.0,0.0,3.0,15.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0
0.0,0.0,2.0,12.0,7.0,0.0,0.0,0.0,0.0,4.0,0.0
0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
2.0,1.0,3.0,32.0,6.0,1.0,1.0,1.0,2.0,1.0,0.0
0.0,0.0,6.0,134.0,20.0,1.0,1.0,1.0,3.0,5.0,0.0
3.0,1.0,6.0,122.0,25.0,2.0,1.0,4.0,3.0,5.0,0.0
0.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
0.0,0.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,2.0,10.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
10.0,5.0,6.0,181.0,40.0,9.0,15.0,24.0,11.0,12.0,1.0
14.0,6.0,8.0,110.0,33.0,7.0,6.0,18.0,14.0,7.0,1.0
1.0,1.0,3.0,22.0,10.0,1.0,0.0,1.0,1.0,4.0,0.0
1.0,1.0,2.0,18.0,9.0,1.0,0.0,1.0,1.0,4.0,0.0
0.0,0.0,2.0,13.0,3.0,0.0,0.0,0.0,1.0,4.0,0.0
0.0,0.0,2.0,13.0,8.0,0.0,0.0,0.0,1.0,4.0,0.0
6.0,1.0,5.0,23.0,16.0,1.0,1.0,6.0,12.0,2.0,1.0
1.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,0.0,2.0,0.0
0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
0.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0
4.0,2.0,6.0,119.0,31.0,2.0,1.0,2.0,13.0,14.0,0.0
0.0,0.0,1.0,6.0,5.0,0.0,0.0,0.0,13.0,6.0,0.0
15.0,3.0,2.0,17.0,25.0,1.0,0.0,5.0,15.0,1.0,1.0
0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,23.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,3.0,6.0,50.0,18.0,1.0,5.0,5.0,42.0,8.0,0.0
19.0,5.0,8.0,413.0,61.0,11.0,18.0,23.0,34.0,14.0,1.0
0.0,0.0,1.0,5.0,4.0,1.0,1.0,1.0,3.0,7.0,0.0
0.0,0.0,1.0,5.0,4.0,1.0,1.0,1.0,3.0,7.0,0.0
0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,3.0,7.0,0.0
0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,3.0,7.0,0.0
7.0,2.0,6.0,270.0,62.0,11.0,20.0,22.0,14.0,17.0,0.0
9.0,1.0,8.0,402.0,44.0,2.0,3.0,3.0,11.0,5.0,1.0
0.0,0.0,1.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
