@relation my_relation
@attribute attr0 real
@attribute attr1 real
@attribute attr2 real
@attribute attr3 real
@attribute attr4 real
@attribute attr5 real
@attribute attr6 real
@attribute attr7 real
@attribute attr8 real
@attribute attr9 real
@attribute attr10 real
@attribute attr11 real
@attribute attr12 real
@attribute attr13 real
@attribute attr14 real
@attribute attr15 real
@attribute attr16 real
@attribute attr17 real
@attribute attr18 real
@attribute attr19 real
@attribute attr20 real
@attribute attr21 real
@attribute attr22 real
@attribute attr23 real
@attribute attr24 real
@attribute attr25 real
@attribute attr26 real
@attribute attr27 real
@attribute attr28 real
@attribute attr29 real
@attribute attr30 real
@attribute attr31 real
@attribute attr32 real
@attribute attr33 real
@attribute attr34 real
@attribute attr35 real
@attribute attr36 real
@attribute attr37 real
@attribute attr38 real
@attribute attr39 real
@attribute attr40 real
@attribute attr41 real
@attribute attr42 real
@attribute attr43 real
@attribute attr44 real
@attribute attr45 real
@attribute attr46 real
@attribute attr47 real
@attribute attr48 real
@attribute attr49 real
@attribute attr50 real
@attribute attr51 real
@attribute attr52 real
@attribute attr53 real
@attribute attr54 real
@attribute attr55 real
@attribute attr56 real
@attribute attr57 real
@attribute attr58 real
@attribute attr59 real
@attribute attr60 real
@attribute attr61 {Y0, Y1}
@data
0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,30.0,3.0,18.0,18.0,0.0,1.0,5.0,48.0,0.0,4.0,0.5,0.333333,4.0,2.0,2.0,20.0,72.0,0.0,701.0,72.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,'Y0'
0.0,0.0,0.0,7.0,0.0,2.0,1.0,7.0,3.0,32.0,3.0,34.0,34.0,2.0,1.0,5.0,57.0,0.0,7.0,1.0,0.571429,7.0,1.0,1.0,20.0,72.0,0.0,701.0,72.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,'Y0'
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,32.0,3.0,4.0,4.0,0.0,1.0,5.0,49.0,0.0,1.0,0.0,0.333333,1.0,1.0,1.0,20.0,72.0,0.0,701.0,72.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,'Y0'
0.0,0.0,0.0,4.0,0.0,0.0,2.0,4.0,1.0,32.0,3.0,35.0,35.0,3.0,1.0,5.0,53.0,0.0,8.0,1.0,0.5,8.0,2.0,2.0,20.0,72.0,0.0,701.0,72.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,'Y0'
0.0,0.0,0.0,2.0,1.0,4.0,2.0,2.0,1.0,25.0,2.0,16.0,16.0,3.0,0.0,5.0,41.0,0.0,3.0,1.0,0.5,3.0,1.5,1.5,20.0,72.0,0.0,701.0,72.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,'Y0'
0.0,0.0,0.0,4.0,1.0,1.0,3.0,4.0,3.0,31.0,3.0,43.0,43.0,10.0,1.0,6.0,53.0,0.0,11.0,1.0,0.5,11.0,2.75,2.75,20.0,72.0,0.0,701.0,72.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,'Y0'
0.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,1.0,0.0,1.0,26.0,26.0,0.0,1.0,0.0,4.0,0.0,7.0,0.333333,1.0,7.0,1.75,1.75,20.0,72.0,0.0,701.0,72.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,'Y0'
0.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,1.0,32.0,3.0,24.0,24.0,2.0,1.0,5.0,52.0,0.0,4.0,1.0,0.666667,4.0,1.333333,1.333333,20.0,72.0,0.0,701.0,72.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,'Y0'
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,72.0,0.0,701.0,72.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'Y0'
0.0,0.0,0.0,6.0,3.0,5.0,3.0,6.0,1.0,30.0,3.0,44.0,44.0,5.0,0.2,7.0,52.0,0.0,14.0,0.6,1.0,14.0,2.333333,2.333333,20.0,72.0,0.0,701.0,72.0,2.0,60.0,0.0,254.0,243.0,2453.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,6.0,1.0,0.0,'Y0'
