@relation my_relation
@attribute attr0 real
@attribute attr1 real
@attribute attr2 real
@attribute attr3 real
@attribute attr4 real
@attribute attr5 real
@attribute attr6 real
@attribute attr7 real
@attribute attr8 real
@attribute attr9 real
@attribute attr10 real
@data
1.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.5,1.5,0.0
1.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.5,1.5,0.0
1.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.5,1.5,0.0
2.0,11.0,2.0,3.0,5.0,0.0,0.0,0.0,1.5,1.5,0.0
2.0,11.0,2.0,3.0,5.0,0.0,0.0,0.0,1.5,1.5,0.0
2.0,11.0,2.0,3.0,5.0,0.0,0.0,0.0,1.5,1.5,0.0
3.0,29.0,5.0,8.0,12.0,1.0,3.0,3.0,5.0,5.0,0.0
1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0,3.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0
3.0,33.0,6.0,6.0,23.0,5.0,6.0,6.0,11.310345,11.310345,0.0
4.0,48.0,10.0,6.0,17.0,1.0,3.0,3.0,11.310345,11.310345,0.0
6.0,523.0,139.0,25.0,105.0,7.0,19.0,19.0,11.310345,11.310345,1.0
6.0,257.0,75.0,16.0,101.0,3.0,5.0,5.0,6.870968,6.870968,1.0
1.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.333333,1.333333,0.0
2.0,12.0,2.0,2.0,1.0,2.0,2.0,2.0,1.333333,1.333333,0.0
1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.333333,1.333333,0.0
1.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
5.0,176.0,23.0,18.0,32.0,3.0,3.0,7.0,2.5,2.5,1.0
