IDMethod,project,package,complextype,method,NOP_method,CC_method,ATFD_method,FDP_method,CM_method,MAXNESTING_method,LOC_method,CYCLO_method,NMCS_method,NOLV_method,MaMCL_method,NOAV_method,LAA_method,FANOUT_method,CFNAMM_method,ATLD_method,CLNAMM_method,CINT_method,MeMCL_method,CDISP_method,NOII_type,NOAM_type,NOCS_type,NOM_type,NMO_type,ATFD_type,FANOUT_type,NOMNAMM_type,NOA_type,NIM_type,DIT_type,LOC_type,LOCNAMM_type,CFNAMM_type,TCC_type,NOPA_type,CBO_type,RFC_type,NOC_type,WMC_type,LCOM5_type,WOC_type,WMCNAMM_type,AMW_type,AMWNAMM_type,NOCS_package,NOMNAMM_package,NOI_package,LOC_package,NOM_package,NOPK_project,NOCS_project,NOI_project,NOM_project,NOMNAMM_project,LOC_project,is_long_parameters_list
389,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes.common.plugins,ReminderHookBase,"shutdownMapHook()",0.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,0.0,0.0,0.0,6.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,16.0,?,2.0,3.0,9.0,12.0,?,4.0,221.0,172.0,406.0,0.177777777777778,1.0,9.0,34.0,1.0,29.0,0.961111111111111,?,18.0,1.8125,2.0,6.0,9.0,0.0,229.0,16.0,43,849,78,5788,4778,65687,false
513,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes.mindmapmode,MindMapMapModel.StringReaderCreator,"createReader()",0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,16.0,16.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.5,1.0,3.0,1.0,1.0,38.0,198.0,0.0,4223.0,240.0,43,849,78,5788,4778,65687,false
544,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes.mindmapmode,MindMapController,"newModel(ModeController)",1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,29.0,18.0,123.0,17.0,50.0,138.0,94.0,108.0,77.0,2.0,1957.0,1669.0,51801.0,0.0126126126126126,87.0,145.0,571.0,0.0,273.0,0.99210686095932,0.404145077720207,234.0,2.21951219512195,2.48936170212766,38.0,198.0,0.0,4223.0,240.0,43,849,78,5788,4778,65687,false
1025,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes,MindMapNode,"getColor()",0.0,5.0,0.0,0.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,0.0,92.0,?,0.0,0.0,71.0,5.0,?,?,288.0,206.0,0.0,0.0,5.0,15.0,92.0,0.0,92.0,1.01098901098901,0.0,71.0,1.0,1.0,34.0,523.0,11.0,6037.0,728.0,43,849,78,5788,4778,65687,false
1463,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes,ControllerAdapter.ControllerPopupMenuListener,"popupMenuCanceled(PopupMenuEvent)",1.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,12.0,12.0,0.0,0.0,0.0,1.0,4.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,34.0,523.0,11.0,6037.0,728.0,43,849,78,5788,4778,65687,false
1520,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes,MindMapLinkRegistry,"getLinkForID(String)",1.0,4.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,?,0.0,0.0,18.0,0.0,?,?,40.0,40.0,0.0,0.0,0.0,2.0,18.0,0.0,18.0,0.0,0.0,18.0,1.0,1.0,34.0,523.0,11.0,6037.0,728.0,43,849,78,5788,4778,65687,false
2733,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes.mindmapmode.actions,NewChildAction,"getDoActionClass()",0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,10.0,12.0,8.0,2.0,15.0,2.0,132.0,132.0,386.0,0.476190476190476,0.0,14.0,45.0,0.0,21.0,0.785714285714286,1.0,21.0,2.625,2.625,74.0,380.0,4.0,5031.0,435.0,43,849,78,5788,4778,65687,false
2752,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes.mindmapmode.actions,ModeControllerActionHandler,"startTransaction(String)",1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,4.0,1.0,0.0,1.0,31.0,31.0,16.0,0.0,0.0,2.0,6.0,0.0,4.0,1.0,1.0,4.0,1.0,1.0,74.0,380.0,4.0,5031.0,435.0,43,849,78,5788,4778,65687,false
2846,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes.mindmapmode.actions,PasteAction.NodeCoordinate,"NodeCoordinate(MindMapNode, boolean)",2.0,2.0,0.0,0.0,2.0,2.0,13.0,2.0,0.0,4.0,0.0,7.0,1.0,1.0,4.0,3.0,0.0,2.0,0.0,0.5,0.0,0.0,0.0,3.0,0.0,1.0,1.0,3.0,3.0,0.0,1.0,33.0,33.0,20.0,1.0,3.0,2.0,5.0,0.0,5.0,1.16666666666667,0.5,5.0,1.66666666666667,1.66666666666667,74.0,380.0,4.0,5031.0,435.0,43,849,78,5788,4778,65687,false
2993,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.extensions,StatefulNodeHook,"setContent(String, String)",2.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,5.0,?,0.0,0.0,2.0,0.0,?,?,7.0,-2.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,2.0,1.0,1.0,18.0,108.0,8.0,1339.0,136.0,43,849,78,5788,4778,65687,false
