IDMethod,project,package,complextype,method,NOP_method,CC_method,ATFD_method,FDP_method,CM_method,MAXNESTING_method,LOC_method,CYCLO_method,NMCS_method,NOLV_method,MaMCL_method,NOAV_method,LAA_method,FANOUT_method,CFNAMM_method,ATLD_method,CLNAMM_method,CINT_method,MeMCL_method,CDISP_method,NOII_type,NOAM_type,NOCS_type,NOM_type,NMO_type,ATFD_type,FANOUT_type,NOMNAMM_type,NOA_type,NIM_type,DIT_type,LOC_type,LOCNAMM_type,CFNAMM_type,TCC_type,NOPA_type,CBO_type,RFC_type,NOC_type,WMC_type,LCOM5_type,WOC_type,WMCNAMM_type,AMW_type,AMWNAMM_type,NOCS_package,NOMNAMM_package,NOI_package,LOC_package,NOM_package,NOPK_project,NOCS_project,NOI_project,NOM_project,NOMNAMM_project,LOC_project,is_switch_statements
387,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes.mindmapmode.actions.xml,AbstractXmlAction,"actionPerformed(ActionEvent)",1.0,2.0,0.0,0.0,2.0,1.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,0.5,0.0,2.0,0.0,7.0,?,1.0,3.0,5.0,2.0,?,3.0,53.0,39.0,55.0,0.1,0.0,4.0,13.0,2.0,8.0,0.916666666666667,?,6.0,1.14285714285714,1.2,7.0,47.0,3.0,439.0,53.0,43,849,78,5788,4778,65687,false
494,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes.mindmapmode,EncryptedMindMapNode,"childrenUnfolded()",0.0,0.0,0.0,0.0,0.0,2.0,6.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,30.0,12.0,4.0,10.0,22.0,8.0,111.0,3.0,377.0,310.0,1214.0,0.0571428571428571,0.0,32.0,208.0,0.0,61.0,0.943965517241379,0.681818181818182,51.0,2.03333333333333,2.31818181818182,38.0,198.0,0.0,4223.0,240.0,43,849,78,5788,4778,65687,false
698,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes.mindmapmode,freemind.modes.mindmapmode.MindMapController$1,"apply(MindMapMapModel,MindMapNodeModel)",2.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,4.0,1.0,0.0,3.0,2.0,?,1.0,0.0,?,1.0,1.0,1.0,38.0,198.0,0.0,4223.0,240.0,43,849,78,5788,4778,65687,false
751,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.view.mindmapview.attributeview,freemind.view.mindmapview.attributeview.AttributeView$1,"run()",0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,5.0,4.0,1.0,0.0,1.0,2.0,?,1.0,0.0,?,1.0,1.0,1.0,18.0,102.0,0.0,1212.0,120.0,43,849,78,5788,4778,65687,false
894,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes.mindmapmode.listeners,MindMapNodeMotionListener,"stopDrag()",0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,16.0,0.0,7.0,10.0,14.0,6.0,8.0,3.0,197.0,179.0,640.0,0.305555555555556,0.0,10.0,41.0,0.0,31.0,0.855555555555556,1.0,28.0,1.9375,2.0,4.0,27.0,0.0,516.0,29.0,43,849,78,5788,4778,65687,false
941,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.controller.filter.condition,DisjunctConditions,"DisjunctConditions(Object[])",1.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,3.0,6.0,4.0,2.0,0.0,1.0,66.0,44.0,77.0,0.5,0.0,9.0,18.0,0.0,10.0,0.75,0.75,8.0,2.0,2.0,17.0,82.0,1.0,906.0,90.0,43,849,78,5788,4778,65687,false
1271,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes,NodeAdapter,"getToolTip()",0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,57.0,1.0,129.0,?,22.0,25.0,72.0,44.0,?,1.0,1243.0,834.0,11362.0,0.0286356821589205,5.0,28.0,207.0,4.0,269.0,0.985973011363636,?,178.0,2.08527131782946,2.47222222222222,34.0,523.0,11.0,6037.0,728.0,43,849,78,5788,4778,65687,false
1407,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes,LinkRegistryAdapter.ID_RegisteredAdapter,"ID_RegisteredAdapter(MindMapNode,String)",2.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,9.0,9.0,3.0,1.0,0.0,3.0,6.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,34.0,523.0,11.0,6037.0,728.0,43,849,78,5788,4778,65687,false
1675,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.modes,ModeController,"refreshMap()",0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,68.0,?,0.0,0.0,64.0,1.0,?,?,225.0,202.0,0.0,0.0,1.0,13.0,68.0,0.0,68.0,1.01492537313433,0.0,64.0,1.0,1.0,34.0,523.0,11.0,6037.0,728.0,43,849,78,5788,4778,65687,false
2224,/mnt/qualitas/qualitas_corpus_compile/freemind-0.9.0,freemind.main,Tools,"uTF8StringToByteArray(String)",1.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,71.0,0.0,4.0,14.0,71.0,5.0,0.0,1.0,1327.0,1327.0,1192.0,0.000426257459505541,2.0,8.0,96.0,0.0,186.0,1.0,0.971830985915493,186.0,2.61971830985915,2.61971830985915,50.0,388.0,3.0,8258.0,437.0,43,849,78,5788,4778,65687,false
